NAMESPACE                 NAME                                                     ADDRESSTYPE   PORTS                         ENDPOINTS                                            AGE
kubevirt                  kubevirt-operator-webhook-kbqp4                          IPv4          8444                          10.244.9.69,10.244.8.29,10.244.7.225                 2d17h
kubevirt                  kubevirt-prometheus-metrics-5tqj4                        IPv4          8443                          10.244.9.69,10.244.9.210,10.244.9.71 + 6 more...     2d17h
kubevirt                  virt-api-spw7j                                           IPv4          8443                          10.244.9.210,10.244.0.203                            2d17h
kubevirt                  virt-exportproxy-9gf87                                   IPv4          <unset>                       <unset>                                              2d17h
kyverno                   kyverno-background-controller-metrics-7kfxm              IPv4          8000                          10.244.0.135                                         50d
kyverno                   kyverno-cleanup-controller-metrics-phrf5                 IPv4          8000                          10.244.7.1                                           50d
kyverno                   kyverno-cleanup-controller-n9fm8                         IPv4          9443                          10.244.7.1                                           50d
kyverno                   kyverno-kyverno-svc-d5kmp                                IPv4          9443                          10.244.9.208,10.244.9.174,10.244.7.128               50d
kyverno                   kyverno-kyverno-svc-metrics-q8gdj                        IPv4          8000                          10.244.9.208,10.244.9.174,10.244.7.128               50d
kyverno                   kyverno-reports-controller-metrics-h6trq                 IPv4          8000                          10.244.9.123                                         50d
litellm                   litellm-fzl8z                                            IPv4          <unset>                       <unset>                                              50d
loki                      loki-backend-74cfh                                       IPv4          9095,3100                     10.244.0.32,10.244.8.88                              8d
loki                      loki-backend-headless-fz65c                              IPv4          3100,9095                     10.244.0.32,10.244.8.88                              8d
loki                      loki-canary-8ft7z                                        IPv4          3500                          10.244.9.158,10.244.8.76,10.244.0.207 + 2 more...    50d
loki                      loki-memberlist-8lt2p                                    IPv4          7946                          10.244.9.254,10.244.8.186,10.244.0.32 + 3 more...    50d
loki                      loki-query-scheduler-discovery-462xx                     IPv4          9095,3100                     10.244.0.32,10.244.8.88                              8d
loki                      loki-read-4gr9z                                          IPv4          9095,3100                     10.244.9.254,10.244.7.235                            8d
loki                      loki-read-headless-m6967                                 IPv4          3100,9095                     10.244.9.254,10.244.7.235                            8d
loki                      loki-write-headless-j6hp8                                IPv4          3100,9095                     10.244.8.186,10.244.7.23                             8d
loki                      loki-write-hhh4r                                         IPv4          9095,3100                     10.244.8.186,10.244.7.23                             8d
manifold-mcp              manifold-mcp-d2ghg                                       IPv4          8765                          10.244.0.236                                         31d
manifold-mcp              manifold-valkey-kimsufi-additional-gmtpn                 IPv4          6379                          10.244.8.36,10.244.7.188                             11d
manifold-mcp              manifold-valkey-kimsufi-headless-rxs6l                   IPv4          6379                          10.244.8.36,10.244.7.188                             11d
manifold-mcp              manifold-valkey-kimsufi-kbppg                            IPv4          6379                          10.244.8.36,10.244.7.188                             11d
manifold-mcp              manifold-valkey-kimsufi-master-lj5f5                     IPv4          6379                          10.244.8.36                                          11d
