model,slug,creator,intelligence_index,cost_per_task_usd,price_1m_input_usd,price_1m_output_usd,price_1m_cache_read_usd,price_1m_cache_write_usd,context_window_tokens,gdpval_aa,terminalbench_v4_0,scicode,hle,critpt,omniscience,aa_lcr
GPT-6 Luna (medium),gpt-6-luna-medium,OpenAI,29.4619523515762,0.01725359419426588,0.1,0.5,0.01,0.125,1000000,0.35915499999999995,0.0252525252525253,0.509259259259259,0.282669138090825,0.105714285714286,-5.05,0.783333333333333
GPT-6 Luna (Non-reasoning),gpt-6-luna-non-reasoning,OpenAI,18.2617465935701,0.01112449676670144,0.1,0.5,0.01,0.125,1000000,0.267015,0.0151515151515152,0.430555555555556,0.0857275254865616,0.0114285714285714,-21.9,0.396666666666667
GPT-6 Luna (xhigh),gpt-6-luna-xhigh,OpenAI,33.8845820217785,0.041708771594451556,0.1,0.5,0.01,0.125,1000000,0.39838999999999997,0.0808080808080808,0.517361111111111,0.343373493975904,0.174285714285714,-1.8333333333333333,0.8
GPT-6 Sol (max),gpt-6-sol,OpenAI,47.5276426437724,1.0564240894076389,2,10,0.2,2.5,872000,0.49346500000000004,0.439393939393939,0.576388888888889,0.479147358665431,0.308571428571429,27.116666666666667,0.836666666666667
GPT-6 Sol (high),gpt-6-sol-high,OpenAI,42.8215513642985,0.3746326907148203,2,10,0.2,2.5,872000,0.438025,0.262626262626263,0.548611111111111,0.44114921223355,0.254285714285714,26.816666666666666,0.836666666666667
GPT-6 Sol (low),gpt-6-sol-low,OpenAI,33.9008505585733,0.13224085088798104,2,10,0.2,2.5,872000,0.33779499999999996,0.0909090909090909,0.502314814814815,0.349397590361446,0.162857142857143,26.516666666666666,0.793333333333333
GPT-6 Sol (medium),gpt-6-sol-medium,OpenAI,39.7820971749522,0.24820209578663968,2,10,0.2,2.5,872000,0.41005499999999995,0.186868686868687,0.538194444444444,0.409638554216867,0.245714285714286,27.016666666666666,0.823333333333333
GPT-6 Sol (Non-reasoning),gpt-6-sol-non-reasoning,OpenAI,28.0921663410513,0.33144507449754673,2,10,0.2,2.5,872000,0.36269500000000005,0.131313131313131,0.47337962962963,0.183966635773865,0.04,-0.85,0.64
GPT-6 Sol (xhigh),gpt-6-sol-xhigh,OpenAI,44.1009705516407,0.5318962692390143,2,10,0.2,2.5,872000,0.46834000000000003,0.303030303030303,0.550925925925926,0.462928637627433,0.28,26.666666666666668,0.813333333333333
gpt-oss-120b (high),gpt-oss-120b,OpenAI,11.6028431512592,0.10742452290394947,0.15,0.595,0.125,,131072,0.04775,0,0.340277777777778,0.196014828544949,0.0114285714285714,-49.25,0.52
Grok 4.5 (high),grok-4-5,SpaceXAI,38.8121153240657,1.0364552526545159,2,6,0.3,,500000,0.43522000000000005,0.106060606060606,0.549768518518518,0.42678405931418,0.154285714285714,25.316666666666666,0.793333333333333
Grok 4.6 (high),grok-4-6,SpaceXAI,44.3113073012592,1.8589423352127492,2,6,0.5,,500000,0.552745,0.212121212121212,0.564814814814815,0.429101019462465,0.171428571428571,30.483333333333334,0.803333333333333
Grok 4.6 (low),grok-4-6-low,SpaceXAI,35.1246953482174,0.47528534374531,2,6,0.5,,500000,0.45121000000000006,0.0303030303030303,0.494212962962963,0.276181649675626,0.0571428571428571,25.9,0.806666666666667
Grok 4.6 (medium),grok-4-6-medium,SpaceXAI,42.836322654063,1.4963233956114492,2,6,0.5,,500000,0.5524199999999999,0.131313131313131,0.559027777777778,0.421223354958295,0.177142857142857,28,0.81
Grok 4.6 (xhigh),grok-4-6-xhigh,SpaceXAI,44.199810436996,2.323692124283027,2,6,0.5,,500000,0.56611,0.171717171717172,0.530092592592593,0.440685820203893,0.197142857142857,29.316666666666666,0.81
Kimi K3 (max),kimi-k3,Kimi,43.5938229518782,2.0001323004425493,3,15,0.3,,1048576,0.511985,0.126262626262626,0.594907407407407,0.468952734012975,0.234285714285714,19.7,0.886666666666667
MiniMax-M3,minimax-m3,MiniMax,29.2202932236316,0.5076126905781733,0.3,1.2,0.06,0.375,1000000,0.36503499999999994,0.0202020202020202,0.471064814814815,0.389712696941613,0.0371428571428571,1.35,0.83
Muse Spark 1.2 (xhigh),muse-spark-1-2,Meta,39.5758607970943,0.9746948879931989,1.25,4.25,0.15,,1048576,0.49080999999999997,0.0707070707070707,0.574074074074074,0.454587581093605,0.177142857142857,27.2,0.79
Qwen3.8 Max (0902),qwen3-8-max,Alibaba,45.4152084980521,5.408509428374016,2,6,0.25,,983616,0.58386,0.388888888888889,0.520833333333333,0.430954587581094,0.177142857142857,11.983333333333333,0.803333333333333
